state,state_abbr,treatment_variable,adoption_rule,adoption_year,included_in_mortality_sample,absorbing_after_adoption_through_2024,post_adoption_reversal_years,starts_banned_1999,ends_banned_2023,first_observed_adoption_year_any_panel,notes_rand_crosscheck
New Jersey,NJ,assault,first 0-to-1 switch in assault (Tufts),,False,False,,1,1,1990,NJ 1990 AWB (early post-Stockton). Tufts assault==1 from 1990 onward; matches RAND.
New Mexico,NM,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Nevada,NV,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
New York,NY,assault,first 0-to-1 switch in assault (Tufts),2000,False,True,,0,1,2000,NY enacted SAFE Act precursor in 2000; further tightened post-Newtown 2013 (NY SAFE Act). Tufts assault flips 0->1 in 2000; excluded from cohorts because 2000 - 5 = 1995 < ANALYSIS_LO.
Ohio,OH,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Oklahoma,OK,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Oregon,OR,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Pennsylvania,PA,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Rhode Island,RI,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
South Carolina,SC,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
South Dakota,SD,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Tennessee,TN,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Texas,TX,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Utah,UT,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Virginia,VA,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Vermont,VT,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Washington,WA,assault,first 0-to-1 switch in assault (Tufts),2023,True,True,,0,1,2023,"WA HB 1240, April 2023. Tufts: 0->1 in 2023. Matches RAND."
Wisconsin,WI,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
West Virginia,WV,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
Wyoming,WY,assault,first 0-to-1 switch in assault (Tufts),,False,False,,0,0,,
